Deutschkreutz;<10801>;AT111
Draßmarkt;<10802>;AT111
Frankenau-Unterpullendorf;<10803>;AT111
Großwarasdorf;<10804>;AT111
Horitschon;<10805>;AT111
Kaisersdorf;<10806>;AT111
Kobersdorf;<10807>;AT111
Lackenbach;<10808>;AT111
Lackendorf;<10824>;AT111
Lockenhaus;<10809>;AT111
Lutzmannsburg;<10810>;AT111
Mannersdorf an der Rabnitz;<10811>;AT111
Markt Sankt Martin;<10812>;AT111
Neckenmarkt;<10813>;AT111
Neutal;<10814>;AT111
Nikitsch;<10815>;AT111
Oberloisdorf;<10828>;AT111
Oberpullendorf;<10816>;AT111
Pilgersdorf;<10817>;AT111
Piringsdorf;<10818>;AT111
Raiding;<10819>;AT111
Ritzing;<10820>;AT111
Steinberg-Dörfl;<10821>;AT111
Stoob;<10822>;AT111
Unterfrauenhaid;<10825>;AT111
Unterrabnitz-Schwendgraben;<10826>;AT111
Weingraben;<10827>;AT111
Weppersdorf;<10823>;AT111
Eisenstadt;<10101>;AT112
Rust;<10201>;AT112
Breitenbrunn;<10301>;AT112
Donnerskirchen;<10302>;AT112
Großhöflein;<10303>;AT112
Hornstein;<10304>;AT112
Klingenbach;<10305>;AT112
Leithaprodersdorf;<10306>;AT112
Loretto;<10320>;AT112
Mörbisch am See;<10307>;AT112
Müllendorf;<10308>;AT112
Neufeld an der Leitha;<10309>;AT112
Oggau am Neusiedler See;<10310>;AT112
Oslip;<10311>;AT112
Purbach am Neusiedler See;<10312>;AT112
Sankt Margarethen im Burgenland;<10313>;AT112
Schützen am Gebirge;<10314>;AT112
Siegendorf;<10315>;AT112
Steinbrunn;<10316>;AT112
Stotzing;<10321>;AT112
Trausdorf an der Wulka;<10317>;AT112
Wimpassing an der Leitha;<10318>;AT112
Wulkaprodersdorf;<10319>;AT112
Zagersdorf;<10323>;AT112
Zillingtal;<10322>;AT112
Antau;<10616>;AT112
Bad Sauerbrunn;<10611>;AT112
Baumgarten;<10617>;AT112
Draßburg;<10601>;AT112
Forchtenstein;<10602>;AT112
Hirm;<10603>;AT112
Krensdorf;<10619>;AT112
Loipersbach im Burgenland;<10604>;AT112
Marz;<10605>;AT112
Mattersburg;<10606>;AT112
Neudörfl;<10607>;AT112
Pöttelsdorf;<10608>;AT112
Pöttsching;<10609>;AT112
Rohrbach bei Mattersburg;<10610>;AT112
Schattendorf;<10612>;AT112
Sieggraben;<10613>;AT112
Sigleß;<10614>;AT112
Wiesen;<10615>;AT112
Zemendorf-Stöttera;<10618>;AT112
Andau;<10701>;AT112
Apetlon;<10702>;AT112
Bruckneudorf;<10703>;AT112
Deutsch Jahrndorf;<10704>;AT112
Edelstal;<10727>;AT112
Frauenkirchen;<10705>;AT112
Gattendorf;<10706>;AT112
Gols;<10707>;AT112
Halbturn;<10708>;AT112
Illmitz;<10709>;AT112
Jois;<10710>;AT112
Kittsee;<10711>;AT112
Mönchhof;<10712>;AT112
Neudorf;<10725>;AT112
Neusiedl am See;<10713>;AT112
Nickelsdorf;<10714>;AT112
Pama;<10715>;AT112
Pamhagen;<10716>;AT112
Parndorf;<10717>;AT112
Podersdorf am See;<10718>;AT112
Potzneusiedl;<10726>;AT112
Sankt Andrä am Zicksee;<10719>;AT112
Tadten;<10720>;AT112
Wallern im Burgenland;<10721>;AT112
Weiden am See;<10722>;AT112
Winden am See;<10723>;AT112
Zurndorf;<10724>;AT112
Bildein;<10426>;AT113
Bocksdorf;<10401>;AT113
Burgauberg-Neudauberg;<10402>;AT113
Eberau;<10403>;AT113
Gerersdorf-Sulz;<10404>;AT113
Großmürbisch;<10420>;AT113
Güssing;<10405>;AT113
Güttenbach;<10406>;AT113
Hackerberg;<10418>;AT113
Heiligenbrunn;<10407>;AT113
Heugraben;<10424>;AT113
Inzenhof;<10421>;AT113
Kleinmürbisch;<10422>;AT113
Kukmirn;<10408>;AT113
Moschendorf;<10428>;AT113
Neuberg im Burgenland;<10409>;AT113
Neustift bei Güssing;<10410>;AT113
Olbendorf;<10411>;AT113
Ollersdorf im Burgenland;<10412>;AT113
Rauchwart;<10427>;AT113
Rohr im Burgenland;<10425>;AT113
Sankt Michael im Burgenland;<10413>;AT113
Stegersbach;<10414>;AT113
Stinatz;<10415>;AT113
Strem;<10416>;AT113
Tobaj;<10417>;AT113
Tschanigraben;<10423>;AT113
Wörterberg;<10419>;AT113
Deutsch Kaltenbrunn;<10501>;AT113
Eltendorf;<10502>;AT113
Heiligenkreuz im Lafnitztal;<10503>;AT113
Jennersdorf;<10504>;AT113
Königsdorf;<10511>;AT113
Minihof-Liebau;<10505>;AT113
Mogersdorf;<10506>;AT113
Mühlgraben;<10512>;AT113
Neuhaus am Klausenbach;<10507>;AT113
Rudersdorf;<10508>;AT113
Sankt Martin an der Raab;<10509>;AT113
Weichselbaum;<10510>;AT113
Bad Tatzmannsdorf;<10901>;AT113
Badersdorf;<10931>;AT113
Bernstein;<10902>;AT113
Deutsch Schützen-Eisenberg;<10903>;AT113
Grafenschachen;<10904>;AT113
Großpetersdorf;<10905>;AT113
Hannersdorf;<10906>;AT113
Jabing;<10930>;AT113
Kemeten;<10907>;AT113
Kohfidisch;<10908>;AT113
Litzelsdorf;<10909>;AT113
Loipersdorf-Kitzladen;<10910>;AT113
Mariasdorf;<10911>;AT113
Markt Allhau;<10912>;AT113
Markt Neuhodis;<10913>;AT113
Mischendorf;<10914>;AT113
Neustift an der Lafnitz;<10929>;AT113
Oberdorf im Burgenland;<10915>;AT113
Oberschützen;<10916>;AT113
Oberwart;<10917>;AT113
Pinkafeld;<10918>;AT113
Rechnitz;<10919>;AT113
Riedlingsdorf;<10920>;AT113
Rotenturm an der Pinka;<10921>;AT113
Schachendorf;<10922>;AT113
Schandorf;<10932>;AT113
Stadtschlaining;<10923>;AT113
Unterkohlstätten;<10924>;AT113
Unterwart;<10925>;AT113
Weiden bei Rechnitz;<10926>;AT113
Wiesfleck;<10927>;AT113
Wolfau;<10928>;AT113
Waidhofen an der Ybbs;<30301>;AT121
Allhartsberg;<30501>;AT121
Amstetten;<30502>;AT121
Ardagger;<30503>;AT121
Aschbach-Markt;<30504>;AT121
Behamberg;<30506>;AT121
Biberbach;<30507>;AT121
Ennsdorf;<30508>;AT121
Ernsthofen;<30509>;AT121
Ertl;<30510>;AT121
Euratsfeld;<30511>;AT121
Ferschnitz;<30512>;AT121
Haag;<30514>;AT121
Haidershofen;<30515>;AT121
Hollenstein an der Ybbs;<30516>;AT121
Kematen an der Ybbs;<30517>;AT121
Neuhofen an der Ybbs;<30520>;AT121
Neustadtl an der Donau;<30521>;AT121
Oed-Oehling;<30522>;AT121
Opponitz;<30524>;AT121
St. Georgen am Reith;<30526>;AT121
St. Georgen am Ybbsfelde;<30527>;AT121
St. Pantaleon-Erla;<30529>;AT121
St. Peter in der Au;<30530>;AT121
St. Valentin;<30531>;AT121
Seitenstetten;<30532>;AT121
Sonntagberg;<30533>;AT121
Strengberg;<30534>;AT121
Viehdorf;<30536>;AT121
Wallsee-Sindelburg;<30538>;AT121
Weistrach;<30539>;AT121
Winklarn;<30541>;AT121
Wolfsbach;<30542>;AT121
Ybbsitz;<30543>;AT121
Zeillern;<30544>;AT121
Artstetten-Pöbring;<31502>;AT121
Bergland;<31503>;AT121
Bischofstetten;<31504>;AT121
Blindenmarkt;<31505>;AT121
Dorfstetten;<31506>;AT121
Dunkelsteinerwald;<31507>;AT121
Emmersdorf an der Donau;<31553>;AT121
Erlauf;<31508>;AT121
Golling an der Erlauf;<31509>;AT121
Hofamt Priel;<31511>;AT121
Hürm;<31513>;AT121
Kilb;<31514>;AT121
Kirnberg an der Mank;<31515>;AT121
Klein-Pöchlarn;<31516>;AT121
Krummnußbaum;<31517>;AT121
Leiben;<31519>;AT121
Loosdorf;<31520>;AT121
Mank;<31521>;AT121
Marbach an der Donau;<31522>;AT121
Maria Taferl;<31523>;AT121
Melk;<31524>;AT121
Münichreith-Laimbach;<31525>;AT121
Neumarkt an der Ybbs;<31527>;AT121
Nöchling;<31528>;AT121
Persenbeug-Gottsdorf;<31530>;AT121
Petzenkirchen;<31531>;AT121
Pöchlarn;<31533>;AT121
Pöggstall;<31534>;AT121
Raxendorf;<31535>;AT121
Ruprechtshofen;<31537>;AT121
St. Leonhard am Forst;<31539>;AT121
St. Martin-Karlsbach;<31540>;AT121
St. Oswald;<31541>;AT121
Schollach;<31543>;AT121
Schönbühel-Aggsbach;<31542>;AT121
Texingtal;<31551>;AT121
Weiten;<31546>;AT121
Ybbs an der Donau;<31549>;AT121
Yspertal;<31552>;AT121
Zelking-Matzleinsdorf;<31550>;AT121
Gaming;<32001>;AT121
Göstling an der Ybbs;<32002>;AT121
Gresten;<32003>;AT121
Gresten-Land;<32004>;AT121
Lunz am See;<32005>;AT121
Oberndorf an der Melk;<32006>;AT121
Puchenstuben;<32007>;AT121
Purgstall an der Erlauf;<32008>;AT121
Randegg;<32009>;AT121
Reinsberg;<32010>;AT121
St. Anton an der Jeßnitz;<32011>;AT121
St. Georgen an der Leys;<32012>;AT121
Scheibbs;<32013>;AT121
Steinakirchen am Forst;<32014>;AT121
Wang;<32015>;AT121
Wieselburg;<32016>;AT121
Wieselburg-Land;<32017>;AT121
Wolfpassing;<32018>;AT121
Wiener Neustadt;<30401>;AT122
Altenmarkt an der Triesting;<30602>;AT122
Berndorf;<30605>;AT122
Enzesfeld-Lindabrunn;<30608>;AT122
Furth an der Triesting;<30609>;AT122
Hernstein;<30614>;AT122
Hirtenberg;<30615>;AT122
Pottenstein;<30627>;AT122
Weissenbach an der Triesting;<30645>;AT122
Annaberg;<31401>;AT122
Eschenau;<31402>;AT122
Hainfeld;<31403>;AT122
Hohenberg;<31404>;AT122
Kaumberg;<31405>;AT122
Kleinzell;<31406>;AT122
Lilienfeld;<31407>;AT122
Mitterbach am Erlaufsee;<31408>;AT122
Ramsau;<31409>;AT122
Rohrbach an der Gölsen;<31410>;AT122
St. Aegyd am Neuwalde;<31411>;AT122
St. Veit an der Gölsen;<31412>;AT122
Traisen;<31413>;AT122
Türnitz;<31414>;AT122
Altendorf;<31801>;AT122
Aspangberg-St. Peter;<31803>;AT122
Aspang-Markt;<31802>;AT122
Breitenau;<31804>;AT122
Breitenstein;<31805>;AT122
Buchbach;<31806>;AT122
Bürg-Vöstenhof;<31842>;AT122
Edlitz;<31807>;AT122
Enzenreith;<31808>;AT122
Feistritz am Wechsel;<31809>;AT122
Gloggnitz;<31810>;AT122
Grafenbach-St. Valentin;<31811>;AT122
Grimmenstein;<31812>;AT122
Grünbach am Schneeberg;<31813>;AT122
Höflein an der Hohen Wand;<31849>;AT122
Kirchberg am Wechsel;<31814>;AT122
Mönichkirchen;<31815>;AT122
Natschbach-Loipersbach;<31817>;AT122
Neunkirchen;<31818>;AT122
Otterthal;<31820>;AT122
Payerbach;<31821>;AT122
Pitten;<31823>;AT122
Prigglitz;<31825>;AT122
Puchberg am Schneeberg;<31826>;AT122
Raach am Hochgebirge;<31827>;AT122
Reichenau an der Rax;<31829>;AT122
St. Corona am Wechsel;<31830>;AT122
St. Egyden am Steinfeld;<31831>;AT122
Scheiblingkirchen-Thernberg;<31832>;AT122
Schottwien;<31833>;AT122
Schrattenbach;<31834>;AT122
Schwarzau am Steinfeld;<31835>;AT122
Schwarzau im Gebirge;<31836>;AT122
Seebenstein;<31837>;AT122
Semmering;<31838>;AT122
Ternitz;<31839>;AT122
Thomasberg;<31840>;AT122
Trattenbach;<31841>;AT122
Warth;<31843>;AT122
Wartmannstetten;<31844>;AT122
Willendorf;<31845>;AT122
Wimpassing im Schwarzatale;<31846>;AT122
Würflach;<31847>;AT122
Zöbern;<31848>;AT122
Bad Erlach;<32306>;AT122
Bad Fischau-Brunn;<32301>;AT122
Bad Schönau;<32302>;AT122
Bromberg;<32325>;AT122
Ebenfurth;<32304>;AT122
Eggendorf;<32305>;AT122
Felixdorf;<32307>;AT122
Gutenstein;<32308>;AT122
Hochneukirchen-Gschaidt;<32309>;AT122
Hochwolkersdorf;<32310>;AT122
Hohe Wand;<32311>;AT122
Hollenthon;<32312>;AT122
Katzelsdorf;<32313>;AT122
Kirchschlag in der Buckligen Welt;<32314>;AT122
Krumbach;<32315>;AT122
Lanzenkirchen;<32316>;AT122
Lichtenegg;<32317>;AT122
Lichtenwörth;<32318>;AT122
Markt Piesting;<32319>;AT122
Matzendorf-Hölles;<32320>;AT122
Miesenbach;<32321>;AT122
Muggendorf;<32322>;AT122
Pernitz;<32323>;AT122
Rohr im Gebirge;<32324>;AT122
Schwarzenbach;<32326>;AT122
Sollenau;<32327>;AT122
Theresienfeld;<32330>;AT122
Waidmannsfeld;<32331>;AT122
Waldegg;<32332>;AT122
Walpersbach;<32333>;AT122
Weikersdorf am Steinfelde;<32334>;AT122
Wiesmath;<32335>;AT122
Winzendorf-Muthmannsdorf;<32336>;AT122
Wöllersdorf-Steinabrückl;<32337>;AT122
Zillingdorf;<32338>;AT122
St. Pölten;<30201>;AT123
Altlengbach;<31901>;AT123
Asperhofen;<31902>;AT123
Böheimkirchen;<31903>;AT123
Brand-Laaben;<31904>;AT123
Eichgraben;<31905>;AT123
Frankenfels;<31906>;AT123
Gerersdorf;<31907>;AT123
Hafnerbach;<31910>;AT123
Haunoldstein;<31911>;AT123
Herzogenburg;<31912>;AT123
Hofstetten-Grünau;<31909>;AT123
Inzersdorf-Getzersdorf;<31913>;AT123
Kapelln;<31915>;AT123
Karlstetten;<31916>;AT123
Kasten bei Böheimkirchen;<31917>;AT123
Kirchberg an der Pielach;<31918>;AT123
Kirchstetten;<31919>;AT123
Loich;<31920>;AT123
Maria Anzbach;<31921>;AT123
Markersdorf-Haindorf;<31922>;AT123
Michelbach;<31923>;AT123
Neidling;<31925>;AT123
Neulengbach;<31926>;AT123
Neustift-Innermanzing;<31927>;AT123
Nußdorf ob der Traisen;<31928>;AT123
Ober-Grafendorf;<31929>;AT123
Obritzberg-Rust;<31930>;AT123
Prinzersdorf;<31932>;AT123
Pyhra;<31934>;AT123
Rabenstein an der Pielach;<31935>;AT123
St. Margarethen an der Sierning;<31938>;AT123
Schwarzenbach an der Pielach;<31939>;AT123
Statzendorf;<31940>;AT123
Stössing;<31941>;AT123
Traismauer;<31943>;AT123
Weinburg;<31945>;AT123
Perschling;<31946>;AT123
Wilhelmsburg;<31947>;AT123
Wölbling;<31948>;AT123
Krems an der Donau;<30101>;AT124
Amaliendorf-Aalfang;<30902>;AT124
Bad Großpertholz;<30910>;AT124
Brand-Nagelberg;<30903>;AT124
Eggern;<30904>;AT124
Eisgarn;<30906>;AT124
Gmünd;<30908>;AT124
Großdietmanns;<30909>;AT124
Großschönau;<30912>;AT124
Haugschlag;<30915>;AT124
Heidenreichstein;<30916>;AT124
Hirschbach;<30917>;AT124
Hoheneich;<30920>;AT124
Kirchberg am Walde;<30921>;AT124
Litschau;<30925>;AT124
Moorbad Harbach;<30913>;AT124
Reingers;<30929>;AT124
St. Martin;<30932>;AT124
Schrems;<30935>;AT124
Unserfrau-Altweitra;<30939>;AT124
Waldenstein;<30940>;AT124
Weitra;<30942>;AT124
Altenburg;<31101>;AT124
Brunn an der Wild;<31102>;AT124
Burgschleinitz-Kühnring;<31103>;AT124
Drosendorf-Zissersdorf;<31104>;AT124
Eggenburg;<31105>;AT124
Gars am Kamp;<31106>;AT124
Geras;<31107>;AT124
Horn;<31109>;AT124
Irnfritz-Messern;<31110>;AT124
Japons;<31111>;AT124
Langau;<31113>;AT124
Meiseldorf;<31114>;AT124
Pernegg;<31117>;AT124
Röhrenbach;<31119>;AT124
Röschitz;<31120>;AT124
Rosenburg-Mold;<31121>;AT124
St. Bernhard-Frauenhofen;<31123>;AT124
Sigmundsherberg;<31124>;AT124
Straning-Grafenberg;<31130>;AT124
Weitersfeld;<31129>;AT124
Aggsbach;<31301>;AT124
Albrechtsberg an der Großen Krems;<31302>;AT124
Bergern im Dunkelsteinerwald;<31303>;AT124
Droß;<31356>;AT124
Dürnstein;<31304>;AT124
Furth bei Göttweig;<31309>;AT124
Gedersdorf;<31310>;AT124
Gföhl;<31311>;AT124
Grafenegg;<31308>;AT124
Hadersdorf-Kammern;<31315>;AT124
Jaidhof;<31319>;AT124
Krumau am Kamp;<31321>;AT124
Langenlois;<31322>;AT124
Lengenfeld;<31323>;AT124
Lichtenau im Waldviertel;<31324>;AT124
Maria Laach am Jauerling;<31326>;AT124
Mautern an der Donau;<31327>;AT124
Mühldorf;<31330>;AT124
Paudorf;<31333>;AT124
Rastenfeld;<31336>;AT124
Rohrendorf bei Krems;<31337>;AT124
Rossatz-Arnsdorf;<31338>;AT124
St. Leonhard am Hornerwald;<31340>;AT124
Schönberg am Kamp;<31355>;AT124
Senftenberg;<31343>;AT124
Spitz;<31344>;AT124
Straß im Straßertale;<31346>;AT124
Stratzing;<31347>;AT124
Weinzierl am Walde;<31350>;AT124
Weißenkirchen in der Wachau;<31351>;AT124
Dietmanns;<32202>;AT124
Dobersberg;<32203>;AT124
Gastern;<32206>;AT124
Groß-Siegharts;<32207>;AT124
Karlstein an der Thaya;<32209>;AT124
Kautzen;<32210>;AT124
Ludweis-Aigen;<32212>;AT124
Pfaffenschlag bei Waidhofen a.d.Thaya;<32214>;AT124
Raabs an der Thaya;<32216>;AT124
Thaya;<32217>;AT124
Vitis;<32219>;AT124
Waidhofen an der Thaya;<32220>;AT124
Waidhofen an der Thaya-Land;<32221>;AT124
Waldkirchen an der Thaya;<32222>;AT124
Windigsteig;<32223>;AT124
Allentsteig;<32501>;AT124
Altmelon;<32519>;AT124
Arbesbach;<32502>;AT124
Bärnkopf;<32503>;AT124
Echsenbach;<32504>;AT124
Göpfritz an der Wild;<32505>;AT124
Grafenschlag;<32506>;AT124
Groß Gerungs;<32508>;AT124
Großgöttfritz;<32509>;AT124
Gutenbrunn;<32511>;AT124
Kirchschlag;<32514>;AT124
Kottes-Purk;<32515>;AT124
Langschlag;<32516>;AT124
Martinsberg;<32517>;AT124
Ottenschlag;<32518>;AT124
Pölla;<32520>;AT124
Rappottenstein;<32521>;AT124
Sallingberg;<32522>;AT124
Schönbach;<32523>;AT124
Schwarzenau;<32524>;AT124
Schweiggers;<32525>;AT124
Traunstein;<32528>;AT124
Waldhausen;<32529>;AT124
Zwettl-Niederösterreich;<32530>;AT124
Drösing;<30810>;AT125
Dürnkrut;<30811>;AT125
Hauskirchen;<30826>;AT125
Hohenau an der March;<30827>;AT125
Jedenspeigen;<30829>;AT125
Neusiedl an der Zaya;<30841>;AT125
Palterndorf-Dobermannsdorf;<30845>;AT125
Ringelsdorf-Niederabsdorf;<30850>;AT125
Sulz im Weinviertel;<30857>;AT125
Zistersdorf;<30863>;AT125
Alberndorf im Pulkautal;<31001>;AT125
Göllersdorf;<31008>;AT125
Grabern;<31009>;AT125
Guntersdorf;<31014>;AT125
Hadres;<31015>;AT125
Hardegg;<31016>;AT125
Haugsdorf;<31018>;AT125
Heldenberg;<31019>;AT125
Hohenwarth-Mühlbach a.M.;<31021>;AT125
Hollabrunn;<31022>;AT125
Mailberg;<31025>;AT125
Maissau;<31026>;AT125
Nappersdorf-Kammersdorf;<31028>;AT125
Pernersdorf;<31033>;AT125
Pulkau;<31035>;AT125
Ravelsbach;<31036>;AT125
Retz;<31037>;AT125
Retzbach;<31038>;AT125
Schrattenthal;<31041>;AT125
Seefeld-Kadolz;<31042>;AT125
Sitzendorf an der Schmida;<31043>;AT125
Wullersdorf;<31051>;AT125
Zellerndorf;<31052>;AT125
Ziersdorf;<31053>;AT125
Altlichtenwarth;<31601>;AT125
Asparn an der Zaya;<31603>;AT125
Bernhardsthal;<31604>;AT125
Drasenhofen;<31606>;AT125
Falkenstein;<31608>;AT125
Fallbach;<31609>;AT125
Gaubitsch;<31611>;AT125
Gaweinstal;<31612>;AT125
Gnadendorf;<31613>;AT125
Großharras;<31616>;AT125
Großkrut;<31617>;AT125
Hausbrunn;<31620>;AT125
Herrnbaumgarten;<31621>;AT125
Laa an der Thaya;<31629>;AT125
Ladendorf;<31630>;AT125
Mistelbach;<31633>;AT125
Neudorf im Weinviertel;<31634>;AT125
Niederleis;<31636>;AT125
Ottenthal;<31658>;AT125
Poysdorf;<31644>;AT125
Rabensburg;<31645>;AT125
Schrattenberg;<31646>;AT125
Staatz;<31649>;AT125
Stronsdorf;<31650>;AT125
Unterstinkenbrunn;<31652>;AT125
Wildendürnbach;<31653>;AT125
Wilfersdorf;<31654>;AT125
Aderklaa;<30801>;AT126
Andlersdorf;<30802>;AT126
Angern an der March;<30803>;AT126
Auersthal;<30804>;AT126
Bad Pirawarth;<30805>;AT126
Deutsch-Wagram;<30808>;AT126
Ebenthal;<30812>;AT126
Eckartsau;<30813>;AT126
Engelhartstetten;<30814>;AT126
Gänserndorf;<30817>;AT126
Glinzendorf;<30819>;AT126
Groß-Enzersdorf;<30821>;AT126
Großhofen;<30822>;AT126
Groß-Schweinbarth;<30824>;AT126
Haringsee;<30825>;AT126
Hohenruppersdorf;<30828>;AT126
Lassee;<30830>;AT126
Leopoldsdorf im Marchfeld;<30831>;AT126
Mannsdorf an der Donau;<30834>;AT126
Marchegg;<30835>;AT126
Markgrafneusiedl;<30836>;AT126
Matzen-Raggendorf;<30838>;AT126
Obersiebenbrunn;<30842>;AT126
Orth an der Donau;<30844>;AT126
Parbasdorf;<30846>;AT126
Prottes;<30848>;AT126
Raasdorf;<30849>;AT126
Schönkirchen-Reyersdorf;<30852>;AT126
Spannberg;<30854>;AT126
Strasshof an der Nordbahn;<30856>;AT126
Untersiebenbrunn;<30858>;AT126
Velm-Götzendorf;<30859>;AT126
Weiden an der March;<30865>;AT126
Weikendorf;<30860>;AT126
Bisamberg;<31201>;AT126
Enzersfeld;<31202>;AT126
Ernstbrunn;<31203>;AT126
Gerasdorf bei Wien;<31235>;AT126
Großmugl;<31204>;AT126
Großrußbach;<31205>;AT126
Hagenbrunn;<31206>;AT126
Harmannsdorf;<31207>;AT126
Hausleiten;<31208>;AT126
Korneuburg;<31213>;AT126
Langenzersdorf;<31214>;AT126
Leitzersdorf;<31215>;AT126
Leobendorf;<31216>;AT126
Niederhollabrunn;<31234>;AT126
Rußbach;<31224>;AT126
Sierndorf;<31226>;AT126
Spillern;<31227>;AT126
Stetteldorf am Wagram;<31228>;AT126
Stetten;<31229>;AT126
Stockerau;<31230>;AT126
Bockfließ;<31605>;AT126
Großebersdorf;<31614>;AT126
Großengersdorf;<31615>;AT126
Hochleithen;<31622>;AT126
Kreuttal;<31627>;AT126
Kreuzstetten;<31628>;AT126
Pillichsdorf;<31642>;AT126
Ulrichskirchen-Schleinbach;<31651>;AT126
Wolkersdorf im Weinviertel;<31655>;AT126
Gablitz;<31949>;AT126
Mauerbach;<31950>;AT126
Pressbaum;<31951>;AT126
Purkersdorf;<31952>;AT126
Tullnerbach;<31953>;AT126
Wolfsgraben;<31954>;AT126
Absdorf;<32101>;AT126
Atzenbrugg;<32104>;AT126
Fels am Wagram;<32106>;AT126
Grafenwörth;<32107>;AT126
Großriedenthal;<32109>;AT126
Großweikersdorf;<32110>;AT126
Judenau-Baumgarten;<32112>;AT126
Kirchberg am Wagram;<32114>;AT126
Klosterneuburg;<32144>;AT126
Königsbrunn am Wagram;<32115>;AT126
Königstetten;<32116>;AT126
Langenrohr;<32119>;AT126
Michelhausen;<32120>;AT126
Muckendorf-Wipfing;<32143>;AT126
St. Andrä-Wördern;<32142>;AT126
Sieghartskirchen;<32131>;AT126
Sitzenberg-Reidling;<32132>;AT126
Tulbing;<32134>;AT126
Tulln an der Donau;<32135>;AT126
Würmla;<32139>;AT126
Zeiselmauer-Wolfpassing;<32140>;AT126
Zwentendorf an der Donau;<32141>;AT126
Alland;<30601>;AT127
Bad Vöslau;<30603>;AT127
Baden;<30604>;AT127
Blumau-Neurißhof;<30646>;AT127
Ebreichsdorf;<30607>;AT127
Günselsdorf;<30612>;AT127
Heiligenkreuz;<30613>;AT127
Klausen-Leopoldsdorf;<30616>;AT127
Kottingbrunn;<30618>;AT127
Leobersdorf;<30620>;AT127
Mitterndorf an der Fischa;<30621>;AT127
Oberwaltersdorf;<30623>;AT127
Pfaffstätten;<30625>;AT127
Pottendorf;<30626>;AT127
Reisenberg;<30629>;AT127
Schönau an der Triesting;<30631>;AT127
Seibersdorf;<30633>;AT127
Sooß;<30635>;AT127
Tattendorf;<30636>;AT127
Teesdorf;<30637>;AT127
Traiskirchen;<30639>;AT127
Trumau;<30641>;AT127
Au am Leithaberge;<30701>;AT127
Bad Deutsch-Altenburg;<30702>;AT127
Berg;<30703>;AT127
Bruck an der Leitha;<30704>;AT127
